Player,GameAdj,Game,Injury Type,Position,Season,Team
"Schwartz, Jaden",1592,23,Lower body,F,2021/22,Seattle
"Shesterkin, Igor",1592,23,Lower body,G,2021/22,NY Rangers
"Svechnikov, Andrei",1592,23,Finger,F,2021/22,Carolina
"Tokarski, Dustin",1592,23,COVID-related,G,2021/22,Buffalo
"Wideman, Chris",1592,23,Upper body,D,2021/22,Montreal
"Barzal, Mathew",1593,24,COVID-related,F,2021/22,NY Islanders
"Bertuzzi, Tyler",1593,24,COVID-related,F,2021/22,Detroit
"Gadjovich, Jonah",1593,24,Ankle,F,2021/22,San Jose
"Getzlaf, Ryan",1593,24,Lower body,F,2021/22,Anaheim
"Hägg, Robert",1593,24,Undisclosed,D,2021/22,Buffalo
"Kadri, Nazem",1593,24,Lower body,F,2021/22,Colorado
"Larsson, Johan",1593,24,Lower body,F,2021/22,Arizona
"Woll, Joseph",1593,24,Undisclosed,G,2021/22,Toronto
"Černák, Erik",1593,24,Lower body,D,2021/22,Tampa Bay
"Balcers, Rūdolfs",1594,25,Lower body,F,2021/22,San Jose
"Bear, Ethan",1594,25,Illness,D,2021/22,Carolina
"Benning, Matt",1594,25,Upper body,D,2021/22,Nashville
"Bernier, Jonathan",1594,25,Hip,G,2021/22,New Jersey
"Brassard, Derick",1594,25,Hip,F,2021/22,Philadelphia
"Dowd, Nic",1594,25,COVID-related,F,2021/22,Washington
"Ekholm, Mattias",1594,25,Illness,D,2021/22,Nashville
"Gallagher, Brendan",1594,25,COVID-related,F,2021/22,Montreal
"Hintz, Roope",1594,25,Illness,F,2021/22,Dallas
"Jones, Caleb",1594,25,Illness,D,2021/22,Chicago
"Landeskog, Gabriel",1594,25,Lower body,F,2021/22,Colorado
"Marchand, Brad",1594,25,COVID-related,F,2021/22,Boston
"Marner, Mitch",1594,25,Shoulder,F,2021/22,Toronto
"Niku, Sami",1594,25,COVID-related,D,2021/22,Montreal
"Pionk, Neal",1594,25,Concussion,D,2021/22,Winnipeg
"Pitlick, Tyler",1594,25,Undisclosed,F,2021/22,Calgary
"Saros, Juuse",1594,25,Illness,G,2021/22,Nashville
"Smith, Craig",1594,25,COVID-related,F,2021/22,Boston
"Subban, Malcolm",1594,25,Lower body,G,2021/22,Buffalo
"Thomas, Robert",1594,25,Lower body,F,2021/22,St. Louis
"van Riemsdyk, Trevor",1594,25,COVID-related,D,2021/22,Washington
"Anderson, Josh",1595,26,Upper body,F,2021/22,Montreal
"Barkov, Aleksander",1595,26,Upper body,F,2021/22,Florida
"Bergeron, Patrice",1595,26,COVID-related,F,2021/22,Boston
"Blackwell, Colin",1595,26,COVID-related,F,2021/22,Seattle
"Blidh, Anton",1595,26,COVID-related,F,2021/22,Boston
"Boqvist, Adam",1595,26,Upper body,D,2021/22,Columbus
"Cirelli, Anthony",1595,26,Upper body,F,2021/22,Tampa Bay
"Dumba, Matt",1595,26,Illness,D,2021/22,Minnesota
"Frederic, Trent",1595,26,COVID-related,F,2021/22,Boston
"Graves, Ryan",1595,26,COVID-related,D,2021/22,New Jersey
"Guentzel, Jake",1595,26,Hand,F,2021/22,Pittsburgh
"Hathaway, Garnet",1595,26,COVID-related,F,2021/22,Washington
"Henrique, Adam",1595,26,Lower body,F,2021/22,Anaheim
"Hischier, Nico",1595,26,COVID-related,F,2021/22,New Jersey
"Husso, Ville",1595,26,Lower body,G,2021/22,St. Louis
"Khaira, Jujhar",1595,26,Concussion,F,2021/22,Chicago
"Kiviranta, Joel",1595,26,Upper body,F,2021/22,Dallas
"Lindström, Gustav",1595,26,Lower body,D,2021/22,Detroit
"MacDonald, Jacob",1595,26,Head,D,2021/22,Colorado
"Martin, Matt",1595,26,COVID-related,F,2021/22,NY Islanders
"Mittelstadt, Casey",1595,26,Upper body,F,2021/22,Buffalo
"Palmieri, Kyle",1595,26,Lower body,F,2021/22,NY Islanders
"Petry, Jeff",1595,26,Upper body,D,2021/22,Montreal
"Radulov, Alexander",1595,26,Illness,F,2021/22,Dallas
"Reimer, James",1595,26,Illness,G,2021/22,San Jose
"Russell, Kris",1595,26,Upper body,D,2021/22,Edmonton
"Salo, Robin",1595,26,COVID-related,D,2021/22,NY Islanders
"Staal, Marc",1595,26,COVID-related,D,2021/22,Detroit
"Steen, Oskar",1595,26,COVID-related,F,2021/22,Boston
"Swayman, Jeremy",1595,26,COVID-related,G,2021/22,Boston
"Toews, Devon",1595,26,COVID-related,D,2021/22,Colorado
"Walman, Jake",1595,26,Upper body,D,2021/22,St. Louis
"Aho, Sebastian",1596,27,COVID-related,F,2021/22,Carolina
"Aho, Sebastian (D)",1596,27,COVID-related,D,2021/22,NY Islanders
"Anderson, Mikey",1596,27,Illness,D,2021/22,Los Angeles
"Armia, Joel",1596,27,Undisclosed,F,2021/22,Montreal
"Beauvillier, Anthony",1596,27,COVID-related,F,2021/22,NY Islanders
"Bogosian, Zach",1596,27,Lower body,D,2021/22,Tampa Bay
"Borgström, Henrik",1596,27,Illness,F,2021/22,Chicago
"Brodin, Jonas",1596,27,Upper body,D,2021/22,Minnesota
"Burakovsky, André",1596,27,COVID-related,F,2021/22,Colorado
"Chychrun, Jakob",1596,27,Upper body,D,2021/22,Arizona
"Compher, J.T.",1596,27,COVID-related,F,2021/22,Colorado
"Dermott, Travis",1596,27,Shoulder,D,2021/22,Toronto
"Duchene, Matt",1596,27,Upper body,F,2021/22,Nashville
"Dzingel, Ryan",1596,27,Upper body,F,2021/22,Arizona
"Edler, Alexander",1596,27,Ankle,D,2021/22,Los Angeles
"Ekman-Larsson, Oliver",1596,27,Undisclosed,D,2021/22,Vancouver
"Gourde, Yanni",1596,27,COVID-related,F,2021/22,Seattle
"Heiskanen, Miro",1596,27,Illness,D,2021/22,Dallas
"Hyman, Zach",1596,27,Shoulder,F,2021/22,Edmonton
"Jaroš, Christián",1596,27,COVID-related,D,2021/22,New Jersey
"Kuemper, Darcy",1596,27,COVID-related,G,2021/22,Colorado
"Kuhlman, Karson",1596,27,COVID-related,F,2021/22,Boston
"Lundkvist, Nils",1596,27,Illness,D,2021/22,NY Rangers
"Makar, Cale",1596,27,COVID-related,D,2021/22,Colorado
"Mamin, Maxim",1596,27,Undisclosed,F,2021/22,Florida
"McLeod, Ryan",1596,27,COVID-related,F,2021/22,Edmonton
"Nelson, Brock",1596,27,COVID-related,F,2021/22,NY Islanders
"Sandin, Rasmus",1596,27,Knee,D,2021/22,Toronto
"Sheahan, Riley",1596,27,COVID-related,F,2021/22,Seattle
"Sissons, Colton",1596,27,Upper body,F,2021/22,Nashville
"Toffoli, Tyler",1596,27,Hand,F,2021/22,Montreal
"Wahlstrom, Oliver",1596,27,COVID-related,F,2021/22,NY Islanders
"Athanasiou, Andreas",1597,28,Lower body,F,2021/22,Los Angeles
"Beagle, Jay",1597,28,Core muscle,F,2021/22,Arizona
"Boqvist, Jesper",1597,28,COVID-related,F,2021/22,New Jersey
"Chatfield, Jalen",1597,28,Lower body,D,2021/22,Carolina
"Cole, Ian",1597,28,COVID-related,D,2021/22,Carolina
"Doughty, Drew",1597,28,COVID-related,D,2021/22,Los Angeles
"Dvorak, Christian",1597,28,Lower body,F,2021/22,Montreal
"Forsling, Gustav",1597,28,Illness,D,2021/22,Florida
"Frost, Morgan",1597,28,COVID-related,F,2021/22,Philadelphia
"Hamonic, Travis",1597,28,Lower body,D,2021/22,Vancouver
"Harpur, Ben",1597,28,COVID-related,D,2021/22,Nashville
"Jarvis, Seth",1597,28,COVID-related,F,2021/22,Carolina
"Johansen, Ryan",1597,28,COVID-related,F,2021/22,Nashville
"Johnson, Reese",1597,28,Collarbone,F,2021/22,Chicago
"Kyrou, Jordan",1597,28,Upper body,F,2021/22,St. Louis
"Lazar, Curtis",1597,28,Undisclosed,F,2021/22,Boston
"Lomberg, Ryan",1597,28,COVID-related,F,2021/22,Florida
"Lorentz, Steven",1597,28,COVID-related,F,2021/22,Carolina
"Nichushkin, Valeri",1597,28,Upper body,F,2021/22,Colorado
"Niemeläinen, Markus",1597,28,Hand,D,2021/22,Edmonton
"Roy, Nicolas",1597,28,Undisclosed,F,2021/22,Vegas
"Shore, Devin",1597,28,COVID-related,F,2021/22,Edmonton
"Staal, Jordan",1597,28,COVID-related,F,2021/22,Carolina
"Subban, P.K.",1597,28,COVID-related,D,2021/22,New Jersey
"Svechnikov, Andrei",1597,28,COVID-related,F,2021/22,Carolina
"Wheeler, Blake",1597,28,Knee,F,2021/22,Winnipeg
"Wilson, Tom",1597,28,Upper body,F,2021/22,Washington
"Zaitsev, Nikita",1597,28,Heel,D,2021/22,Ottawa
"Bayreuther, Gavin",1598,29,COVID-related,D,2021/22,Columbus
"Bennett, Sam",1598,29,COVID-related,F,2021/22,Florida
"Bernard-Docker, Jacob",1598,29,COVID-related,D,2021/22,Ottawa
"Bjork, Anders",1598,29,Illness,F,2021/22,Buffalo
"Bjorkstrand, Oliver",1598,29,COVID-related,F,2021/22,Columbus
"Blackwood, Mackenzie",1598,29,Neck,G,2021/22,New Jersey
"Boyle, Brian",1598,29,Lower body,F,2021/22,Pittsburgh
"Bratt, Jesper",1598,29,Illness,F,2021/22,New Jersey
"Cousins, Nick",1598,29,COVID-related,F,2021/22,Nashville
"Crouse, Lawson",1598,29,COVID-related,F,2021/22,Arizona
"DeBrusk, Jake",1598,29,COVID-related,F,2021/22,Boston
"Ekblad, Aaron",1598,29,COVID-related,D,2021/22,Florida
"Ennis, Tyler",1598,29,COVID-related,F,2021/22,Ottawa
"Evans, Jake",1598,29,Undisclosed,F,2021/22,Montreal
"Forsberg, Anton",1598,29,COVID-related,G,2021/22,Ottawa
"Galchenyuk, Alex",1598,29,COVID-related,F,2021/22,Arizona
"Granlund, Mikael",1598,29,COVID-related,F,2021/22,Nashville
"Gudas, Radko",1598,29,COVID-related,D,2021/22,Florida
"Hart, Carter",1598,29,Illness,G,2021/22,Philadelphia
"Heatherington, Dillon",1598,29,COVID-related,D,2021/22,Ottawa
"Hägg, Robert",1598,29,Lower body,D,2021/22,Buffalo
"Keith, Duncan",1598,29,COVID-related,D,2021/22,Edmonton
"Kero, Tanner",1598,29,Concussion,F,2021/22,Dallas
"Korpisalo, Joonas",1598,29,COVID-related,G,2021/22,Columbus
"Kuznetsov, Evgeny",1598,29,COVID-related,F,2021/22,Washington
"Labanc, Kevin",1598,29,Shoulder,F,2021/22,San Jose
"Luff, Matt",1598,29,COVID-related,F,2021/22,Nashville
"McCarron, Michael",1598,29,COVID-related,F,2021/22,Nashville
"Montour, Brandon",1598,29,COVID-related,D,2021/22,Florida
"Norris, Josh",1598,29,COVID-related,F,2021/22,Ottawa
"Nugent-Hopkins, Ryan",1598,29,COVID-related,F,2021/22,Edmonton
"Paul, Nick",1598,29,COVID-related,F,2021/22,Ottawa
"Perunovich, Scott",1598,29,Illness,D,2021/22,St. Louis
"Petersen, Cal",1598,29,COVID-related,G,2021/22,Los Angeles
"Puljujärvi, Jesse",1598,29,COVID-related,F,2021/22,Edmonton
"Robinson, Eric",1598,29,COVID-related,F,2021/22,Columbus
"Schenn, Brayden",1598,29,Upper body,F,2021/22,St. Louis
"Theodore, Shea",1598,29,Undisclosed,D,2021/22,Vegas
"Tomasino, Philip",1598,29,COVID-related,F,2021/22,Nashville
"Turris, Kyle",1598,29,Foot,F,2021/22,Edmonton
"Vatrano, Frank",1598,29,COVID-related,F,2021/22,Florida
"Verhaeghe, Carter",1598,29,COVID-related,F,2021/22,Florida
"Vladař, Dan",1598,29,COVID-related,G,2021/22,Calgary
"Willman, Max",1598,29,COVID-related,F,2021/22,Philadelphia
"de Haan, Calvin",1598,29,COVID-related,D,2021/22,Chicago
"Borowiecki, Mark",1599,30,COVID-related,D,2021/22,Nashville
"Boyd, Travis",1599,30,COVID-related,F,2021/22,Arizona
"Butcher, Will",1599,30,Illness,D,2021/22,Buffalo
"Bäckström, Nicklas",1599,30,COVID-related,F,2021/22,Washington
"Couturier, Sean",1599,30,Upper body,F,2021/22,Philadelphia
"Danault, Phillip",1599,30,COVID-related,F,2021/22,Los Angeles
"Danforth, Justin",1599,30,Knee,F,2021/22,Columbus
"Dowd, Nic",1599,30,COVID-related,F,2021/22,Washington
"Fabbri, Robby",1599,30,COVID-related,F,2021/22,Detroit
"Fischer, Christian",1599,30,COVID-related,F,2021/22,Arizona
"Gaudette, Adam",1599,30,Illness,F,2021/22,Ottawa
"Gibson, John",1599,30,Lower body,G,2021/22,Anaheim
"Greenway, Jordan",1599,30,Lower body,F,2021/22,Minnesota
"Gustafsson, David",1599,30,Lower body,F,2021/22,Winnipeg
"Hart, Carter",1599,30,COVID-related,G,2021/22,Philadelphia
"Hunt, Brad",1599,30,COVID-related,D,2021/22,Vancouver
"Johnson, Jack",1599,30,Lower body,D,2021/22,Colorado
"Juolevi, Olli",1599,30,COVID-related,D,2021/22,Florida
"Kassian, Zack",1599,30,COVID-related,F,2021/22,Edmonton
"Lagesson, William",1599,30,COVID-related,D,2021/22,Edmonton
"Lammikko, Juho",1599,30,COVID-related,F,2021/22,Vancouver
"Laughton, Scott",1599,30,COVID-related,F,2021/22,Philadelphia
"Lyubushkin, Ilya",1599,30,COVID-related,D,2021/22,Arizona
"Maccelli, Matias",1599,30,COVID-related,F,2021/22,Arizona
"McAvoy, Charlie",1599,30,Lower body,D,2021/22,Boston
"Nosek, Tomáš",1599,30,COVID-related,F,2021/22,Boston
"Nurse, Darnell",1599,30,COVID-related,D,2021/22,Edmonton
"O'Brien, Liam",1599,30,COVID-related,F,2021/22,Arizona
"Oleksiak, Jamie",1599,30,COVID-related,D,2021/22,Seattle
"Panarin, Artemi",1599,30,Lower body,F,2021/22,NY Rangers
"Rasmussen, Michael",1599,30,COVID-related,F,2021/22,Detroit
"Ritchie, Nick",1599,30,Illness,F,2021/22,Toronto
"Schenn, Luke",1599,30,COVID-related,D,2021/22,Vancouver
"Schmidt, Nate",1599,30,Illness,D,2021/22,Winnipeg
"Smith, Brendan",1599,30,COVID-related,D,2021/22,Carolina
"Spurgeon, Jared",1599,30,Lower body,D,2021/22,Minnesota
"Stützle, Tim",1599,30,COVID-related,F,2021/22,Ottawa
"Svechnikov, Evgeny",1599,30,Undisclosed,F,2021/22,Winnipeg
"Tippett, Owen",1599,30,COVID-related,F,2021/22,Florida
"van Riemsdyk, Trevor",1599,30,COVID-related,D,2021/22,Washington
"Appleton, Mason",1600,31,COVID-related,F,2021/22,Seattle
"Bean, Jake",1600,31,Illness,D,2021/22,Columbus
"Bellemare, Pierre-Édouard",1600,31,COVID-related,F,2021/22,Tampa Bay
"Bennett, Sam",1600,31,Illness,F,2021/22,Florida
"Brodin, Jonas",1600,31,COVID-related,D,2021/22,Minnesota
"Brown, Connor",1600,31,Jaw,F,2021/22,Ottawa
"Brown, Dustin",1600,31,COVID-related,F,2021/22,Los Angeles
"Bryson, Jacob",1600,31,COVID-related,D,2021/22,Buffalo
"Byfield, Quinton",1600,31,COVID-related,F,2021/22,Los Angeles
"Carter, Jeff",1600,31,COVID-related,F,2021/22,Pittsburgh
"Cirelli, Anthony",1600,31,COVID-related,F,2021/22,Tampa Bay
"Cozens, Dylan",1600,31,COVID-related,F,2021/22,Buffalo
"Dahlén, Jonathan",1600,31,COVID-related,F,2021/22,San Jose
"Donato, Ryan",1600,31,COVID-related,F,2021/22,Seattle
"Dunn, Vince",1600,31,COVID-related,D,2021/22,Seattle
"Elliott, Brian",1600,31,COVID-related,G,2021/22,Tampa Bay
"Eriksson Ek, Joel",1600,31,Upper body,F,2021/22,Minnesota
"Fleury, Marc-André",1600,31,COVID-related,G,2021/22,Chicago
"Georgiev, Alexandar",1600,31,COVID-related,G,2021/22,NY Rangers
"Gillies, Jon",1600,31,COVID-related,G,2021/22,New Jersey
"Girgensons, Zemgus",1600,31,COVID-related,F,2021/22,Buffalo
"Hill, Adin",1600,31,COVID-related,G,2021/22,San Jose
"Hinostroza, Vinnie",1600,31,COVID-related,F,2021/22,Buffalo
"Jankowski, Mark",1600,31,COVID-related,F,2021/22,Buffalo
"Jarry, Tristan",1600,31,COVID-related,G,2021/22,Pittsburgh
"Josi, Roman",1600,31,COVID-related,D,2021/22,Nashville
"Kapanen, Kasperi",1600,31,COVID-related,F,2021/22,Pittsburgh
"Lankinen, Kevin",1600,31,COVID-related,G,2021/22,Chicago
"Liljegren, Timothy",1600,31,COVID-related,D,2021/22,Toronto
"Lindgren, Ryan",1600,31,COVID-related,D,2021/22,NY Rangers
"Mahura, Josh",1600,31,Upper body,D,2021/22,Anaheim
"Merzļikins, Elvis",1600,31,Lower body,G,2021/22,Columbus
"Miller, Colin",1600,31,Undisclosed,D,2021/22,Buffalo
"Muzzin, Jake",1600,31,COVID-related,D,2021/22,Toronto
"Määttä, Olli",1600,31,COVID-related,D,2021/22,Los Angeles
"Novak, Thomas",1600,31,COVID-related,F,2021/22,Nashville
"Oshie, T.J.",1600,31,COVID-related,F,2021/22,Washington
"Perreault, Mathieu",1600,31,Lower body,F,2021/22,Montreal
"Poolman, Tucker",1600,31,COVID-related,D,2021/22,Vancouver
"Rooney, Kevin",1600,31,COVID-related,F,2021/22,NY Rangers
"Sabourin, Scott",1600,31,Finger,F,2021/22,Ottawa
"Sergachev, Mikhail",1600,31,COVID-related,D,2021/22,Tampa Bay
"Sgarbossa, Michael",1600,31,COVID-related,F,2021/22,Washington
"Sissons, Colton",1600,31,COVID-related,F,2021/22,Nashville
"Skinner, Jeff",1600,31,COVID-related,F,2021/22,Buffalo
"Smith, Givani",1600,31,COVID-related,F,2021/22,Detroit
"Stone, Mark",1600,31,Upper body,F,2021/22,Vegas
"Sundqvist, Oskar",1600,31,COVID-related,F,2021/22,St. Louis
"Tanev, Brandon",1600,31,Knee,F,2021/22,Seattle
"Tarasov, Daniil (G)",1600,31,Hip,G,2021/22,Columbus
"Tatar, Tomáš",1600,31,COVID-related,F,2021/22,New Jersey
"Texier, Alexandre",1600,31,COVID-related,F,2021/22,Columbus
"Tinordi, Jarred",1600,31,COVID-related,D,2021/22,NY Rangers
"Vasilevskiy, Andrei",1600,31,COVID-related,G,2021/22,Tampa Bay
"Vesey, Jimmy",1600,31,COVID-related,F,2021/22,New Jersey
"Werenski, Zach",1600,31,COVID-related,D,2021/22,Columbus
"Zadina, Filip",1600,31,COVID-related,F,2021/22,Detroit
"Zucker, Jason",1600,31,Lower body,F,2021/22,Pittsburgh
"Allen, Jake",1601,32,COVID-related,G,2021/22,Montreal
"Armia, Joel",1601,32,Undisclosed,F,2021/22,Montreal
"Barbashev, Ivan",1601,32,COVID-related,F,2021/22,St. Louis
"Bjugstad, Nick",1601,32,Upper body,F,2021/22,Minnesota
"Boeser, Brock",1601,32,COVID-related,F,2021/22,Vancouver
"Bortuzzo, Robert",1601,32,COVID-related,D,2021/22,St. Louis
"Brisebois, Guillaume",1601,32,Undisclosed,D,2021/22,Vancouver
"Buchnevich, Pavel",1601,32,Illness,F,2021/22,St. Louis
"Chiarot, Ben",1601,32,COVID-related,D,2021/22,Montreal
"Cholowski, Dennis",1601,32,COVID-related,D,2021/22,Washington
"Clifton, Connor",1601,32,COVID-related,D,2021/22,Boston
"Dadonov, Evgenii",1601,32,COVID-related,F,2021/22,Vegas
"Dauphin, Laurent",1601,32,COVID-related,F,2021/22,Montreal
"Di Giuseppe, Phillip",1601,32,COVID-related,F,2021/22,Vancouver
"Duhaime, Brandon",1601,32,COVID-related,F,2021/22,Minnesota
"Fehérváry, Martin",1601,32,COVID-related,D,2021/22,Washington
"Ferraro, Mario",1601,32,COVID-related,D,2021/22,San Jose
"Foligno, Nick",1601,32,Lower body,F,2021/22,Boston
"Foote, Cal",1601,32,COVID-related,D,2021/22,Tampa Bay
"Forbort, Derek",1601,32,COVID-related,D,2021/22,Boston
"Greenway, Jordan",1601,32,COVID-related,F,2021/22,Minnesota
"Gustafsson, David",1601,32,Lower body,F,2021/22,Winnipeg
"Hague, Nicolas",1601,32,Undisclosed,D,2021/22,Vegas
"Hoffman, Mike",1601,32,COVID-related,F,2021/22,Montreal
"Jensen, Nick",1601,32,COVID-related,D,2021/22,Washington
"Joshua, Dakota",1601,32,COVID-related,F,2021/22,St. Louis
"Kaše, Ondřej",1601,32,Undisclosed,F,2021/22,Toronto
"Landeskog, Gabriel",1601,32,COVID-related,F,2021/22,Colorado
"Leddy, Nick",1601,32,COVID-related,D,2021/22,Detroit
"Lehkonen, Artturi",1601,32,COVID-related,F,2021/22,Montreal
"Lehner, Robin",1601,32,Lower body,G,2021/22,Vegas
"Murray, Matt",1601,32,Illness,G,2021/22,Ottawa
"Nugent-Hopkins, Ryan",1601,32,Lower body,F,2021/22,Edmonton
"O'Connor, Drew",1601,32,COVID-related,F,2021/22,Pittsburgh
"Petry, Jeff",1601,32,COVID-related,D,2021/22,Montreal
"Pietrangelo, Alex",1601,32,COVID-related,D,2021/22,Vegas
"Raddysh, Taylor",1601,32,COVID-related,F,2021/22,Tampa Bay
"Schultz, Justin",1601,32,COVID-related,D,2021/22,Washington
"Schwartz, Jaden",1601,32,Hand,F,2021/22,Seattle
"Smith, Mike",1601,32,Upper body,G,2021/22,Edmonton
"Sprong, Daniel",1601,32,COVID-related,F,2021/22,Washington
"Talbot, Cam",1601,32,Lower body,G,2021/22,Minnesota
"Vaněček, Vítek",1601,32,COVID-related,G,2021/22,Washington
"Wideman, Chris",1601,32,COVID-related,D,2021/22,Montreal
"Belpedio, Louie",1602,33,COVID-related,D,2021/22,Montreal
"Bogosian, Zach",1602,33,Lower body,D,2021/22,Tampa Bay
"Brodin, Jonas",1602,33,Upper body,D,2021/22,Minnesota
"Byram, Bowen",1602,33,Head,D,2021/22,Colorado
"Capobianco, Kyle",1602,33,COVID-related,D,2021/22,Arizona
"Comtois, Maxime",1602,33,COVID-related,F,2021/22,Anaheim
"DeMelo, Dylan",1602,33,COVID-related,D,2021/22,Winnipeg
"Dowling, Justin",1602,33,COVID-related,F,2021/22,Vancouver
"Drouin, Jonathan",1602,33,Undisclosed,F,2021/22,Montreal
"Eller, Lars",1602,33,Illness,F,2021/22,Washington
"Engvall, Pierre",1602,33,COVID-related,F,2021/22,Toronto
"Fabbro, Dante",1602,33,COVID-related,D,2021/22,Nashville
"Frederic, Trent",1602,33,Upper body,F,2021/22,Boston
"Giroux, Claude",1602,33,COVID-related,F,2021/22,Philadelphia
"Goligoski, Alex",1602,33,COVID-related,D,2021/22,Minnesota
"Gurianov, Denis",1602,33,COVID-related,F,2021/22,Dallas
"Harkins, Jansen",1602,33,COVID-related,F,2021/22,Winnipeg
"Hayton, Barrett",1602,33,Hand,F,2021/22,Arizona
"Helm, Darren",1602,33,Lower body,F,2021/22,Colorado
"Holtby, Braden",1602,33,COVID-related,G,2021/22,Dallas
"Howden, Brett",1602,33,COVID-related,F,2021/22,Vegas
"Kaprizov, Kirill",1602,33,Upper body,F,2021/22,Minnesota
"Lauzon, Jérémy",1602,33,COVID-related,D,2021/22,Seattle
"Marchment, Mason",1602,33,COVID-related,F,2021/22,Florida
"Marner, Mitch",1602,33,COVID-related,F,2021/22,Toronto
"Panarin, Artemi",1602,33,COVID-related,F,2021/22,NY Rangers
"Primeau, Cayden",1602,33,COVID-related,G,2021/22,Montreal
"Provorov, Ivan",1602,33,COVID-related,D,2021/22,Philadelphia
"Raanta, Antti",1602,33,Upper body,G,2021/22,Carolina
"Radulov, Alexander",1602,33,COVID-related,F,2021/22,Dallas
"Reinhart, Sam",1602,33,COVID-related,F,2021/22,Florida
"Seeler, Nick",1602,33,COVID-related,D,2021/22,Philadelphia
"Stastny, Paul",1602,33,COVID-related,F,2021/22,Winnipeg
"Steel, Sam",1602,33,COVID-related,F,2021/22,Anaheim
"Stone, Mark",1602,33,Upper body,F,2021/22,Vegas
"Zegras, Trevor",1602,33,COVID-related,F,2021/22,Anaheim
"Baddock, Brandon",1603,34,COVID-related,F,2021/22,Montreal
"Barrie, Tyson",1603,34,COVID-related,D,2021/22,Edmonton
"Beaulieu, Nathan",1603,34,COVID-related,D,2021/22,Winnipeg
"Bjork, Anders",1603,34,COVID-related,F,2021/22,Buffalo
"Bäckström, Nicklas",1603,34,Illness,F,2021/22,Washington
"Comrie, Eric",1603,34,COVID-related,G,2021/22,Winnipeg
"Couture, Logan",1603,34,COVID-related,F,2021/22,San Jose
"Dickinson, Jason",1603,34,COVID-related,F,2021/22,Vancouver
"Dillon, Brenden",1603,34,COVID-related,D,2021/22,Winnipeg
"Dineen, Cam",1603,34,COVID-related,D,2021/22,Arizona
"Ehlers, Nikolaj",1603,34,COVID-related,F,2021/22,Winnipeg
"Evans, Jake",1603,34,COVID-related,F,2021/22,Montreal
"Fitzgerald, Casey",1603,34,COVID-related,D,2021/22,Buffalo
"Fowler, Cam",1603,34,Upper body,D,2021/22,Anaheim
"Gallagher, Brendan",1603,34,Lower body,F,2021/22,Montreal
"Grundström, Carl",1603,34,COVID-related,F,2021/22,Los Angeles
"Grzelcyk, Matt",1603,34,COVID-related,D,2021/22,Boston
"Gustafsson, Erik (2)",1603,34,COVID-related,D,2021/22,Chicago
"Hagel, Brandon",1603,34,COVID-related,F,2021/22,Chicago
"Hague, Nicolas",1603,34,Wrist,D,2021/22,Vegas
"Hamilton, Dougie",1603,34,Jaw,D,2021/22,New Jersey
"Hischier, Nico",1603,34,Lower body,F,2021/22,New Jersey
"Iafallo, Alex",1603,34,COVID-related,F,2021/22,Los Angeles
"Knight, Spencer",1603,34,COVID-related,G,2021/22,Florida
"Konecny, Travis",1603,34,COVID-related,F,2021/22,Philadelphia
"Krebs, Peyton",1603,34,COVID-related,F,2021/22,Buffalo
"Lafferty, Sam",1603,34,COVID-related,F,2021/22,Chicago
"Mayhew, Gerald",1603,34,Upper body,F,2021/22,Philadelphia
"McDavid, Connor",1603,34,COVID-related,F,2021/22,Edmonton
"McGinn, Brock",1603,34,COVID-related,F,2021/22,Pittsburgh
"Moore, John",1603,34,Upper body,D,2021/22,Boston
"Okposo, Kyle",1603,34,COVID-related,F,2021/22,Buffalo
"Oshie, T.J.",1603,34,Illness,F,2021/22,Washington
"Pacioretty, Max",1603,34,Wrist,F,2021/22,Vegas
"Pederson, Lane",1603,34,COVID-related,F,2021/22,San Jose
"Romanov, Alexander",1603,34,COVID-related,D,2021/22,Montreal
"Rust, Bryan",1603,34,COVID-related,F,2021/22,Pittsburgh
"Ryan, Derek",1603,34,COVID-related,F,2021/22,Edmonton
"Sanheim, Travis",1603,34,COVID-related,D,2021/22,Philadelphia
"Sekera, Andrej",1603,34,COVID-related,D,2021/22,Dallas
"Sharangovich, Yegor",1603,34,COVID-related,F,2021/22,New Jersey
"Slavin, Jaccob",1603,34,COVID-related,D,2021/22,Carolina
"Stanley, Logan",1603,34,COVID-related,D,2021/22,Winnipeg
"Strålman, Anton",1603,34,COVID-related,D,2021/22,Arizona
"Tuch, Alex",1603,34,COVID-related,F,2021/22,Buffalo
"Turcotte, Alex",1603,34,COVID-related,F,2021/22,Los Angeles
"Wedgewood, Scott",1603,34,COVID-related,G,2021/22,Arizona
"Wolanin, Christian",1603,34,COVID-related,D,2021/22,Los Angeles
"Zacha, Pavel",1603,34,COVID-related,F,2021/22,New Jersey
"Aston-Reese, Zach",1604,35,COVID-related,F,2021/22,Pittsburgh
"Belzile, Alex",1604,35,COVID-related,F,2021/22,Montreal
"Brassard, Derick",1604,35,Hip,F,2021/22,Philadelphia
"Chiasson, Alex",1604,35,COVID-related,F,2021/22,Vancouver
"Clague, Kale",1604,35,COVID-related,D,2021/22,Montreal
"Colton, Ross",1604,35,COVID-related,F,2021/22,Tampa Bay
"DeSmith, Casey",1604,35,COVID-related,G,2021/22,Pittsburgh
"Geekie, Morgan",1604,35,Upper body,F,2021/22,Seattle
"Getzlaf, Ryan",1604,35,COVID-related,F,2021/22,Anaheim
